DATE,SPASTT01USM657N
2003-01-01,-0.368127417806882
2003-02-01,-6.28069585513238
2003-03-01,-0.293998463525623
2003-04-01,5.3886486360625
2003-05-01,5.86571756822984
2003-06-01,5.93097821962509
2003-07-01,-0.284593107079701
2003-08-01,0.239783602034643
2003-09-01,2.93036748750642
2003-10-01,2.6108860614058
2003-11-01,1.67939345716859
2003-12-01,4.25319268926715
2004-01-01,5.04922146699336
2004-02-01,1.50980075505274
2004-03-01,-1.32270129433518
2004-04-01,0.433780752119859
2004-05-01,-3.42921007319101
2004-06-01,2.69161950373461
2004-07-01,-1.53501504931686
2004-08-01,-1.47519754340528
2004-09-01,3.10381357599685
2004-10-01,0.903357399454367
2004-11-01,4.96506374467028
2004-12-01,2.88756625387577
2005-01-01,-1.12586075248856
2005-02-01,2.64804195378113
2005-03-01,0.344552930149337
2005-04-01,-2.62975074045999
2005-05-01,0.285109996227725
2005-06-01,1.98375633087495
2005-07-01,1.98136196359697
2005-08-01,1.36188957776548
2005-09-01,1.32474846083017
2005-10-01,-2.75426467213397
2005-11-01,2.97942692686924
2005-12-01,2.59189164628582
2006-01-01,2.65696669067269
2006-02-01,0.632137336994855
2006-03-01,1.57954973326226
2006-04-01,2.08922065879325
2006-05-01,0.0412216960331194
2006-06-01,-4.34769589006966
2006-07-01,1.56444295286886
2006-08-01,2.27309716269731
2006-09-01,1.09585672125458
2006-10-01,3.16285426042658
2006-11-01,2.4216825549849
2006-12-01,2.57016808287559
2007-01-01,0.492394567044885
2007-02-01,2.37994347962717
2007-03-01,-2.45744811691542
2007-04-01,4.70639444683831
2007-05-01,2.88466170042994
2007-06-01,0.729545153837547
2007-07-01,0.91532972684597
2007-08-01,-5.47810928984727
2007-09-01,3.47557952807282
2007-10-01,4.00028663414736
2007-11-01,-4.26642728056604
2007-12-01,0.870049805261852
2008-01-01,-6.48784465623567
2008-02-01,-1.48092273716728
2008-03-01,-2.92913925969363
2008-04-01,4.56709534833092
2008-05-01,2.72277389607699
2008-06-01,-4.53018870126879
2008-07-01,-6.30478927905729
2008-08-01,-0.801093273450014
2008-09-01,-5.42177895769058
2008-10-01,-22.4866667846784
2008-11-01,-9.81617808981158
2008-12-01,-0.083022526417085
2009-01-01,-0.692248231816262
2009-02-01,-7.77645516871772
2009-03-01,-6.31464720637096
2009-04-01,12.667414952782
2009-05-01,9.01440417069279
2009-06-01,2.81954822640212
2009-07-01,0.500865404534847
2009-08-01,9.3350311356103
2009-09-01,3.85393132010984
2009-10-01,2.27928194347252
2009-11-01,1.43579980962877
2009-12-01,1.19463894133484
2010-01-01,1.21776744030389
2010-02-01,-4.19471940374587
2010-03-01,5.68996731457527
2010-04-01,3.46278704628387
2010-05-01,-7.95200654360584
2010-06-01,-3.31329905552691
2010-07-01,0.437220642015455
2010-08-01,1.83821906804719
2010-09-01,3.21772130321037
2010-10-01,4.71824470995922
2010-11-01,1.66957358513261
2010-12-01,3.0784520189771
2011-01-01,3.26465805834528
2011-02-01,3.35632882315457
2011-03-01,-1.12593962726774
2011-04-01,2.37976115377086
2011-05-01,-0.692186928243466
2011-06-01,-3.6175897949141
2011-07-01,2.27804422651693
2011-08-01,-11.4676316071879
2011-09-01,-3.212859063218
2011-10-01,2.09077080463295
2011-11-01,1.0232872275174
2011-12-01,1.05467241710998
2012-01-01,4.24527346592696
2012-02-01,4.56507041815718
2012-03-01,1.15501474579148
2012-04-01,-1.49129273124895
2012-05-01,-4.2139478803473
2012-06-01,-1.95342813465976
2012-07-01,2.87939370596699
2012-08-01,3.07103085568432
2012-09-01,3.18123437435641
2012-10-01,0.24145531262172
2012-11-01,-1.8995957279913
2012-12-01,2.96662972116189
2013-01-01,4.5076311938114
2013-02-01,1.7288269286829
2013-03-01,1.60460197914769
2013-04-01,0.560079720667975
2013-05-01,3.82987194532464
2013-06-01,-2.50338173155248
2013-07-01,2.66403016047195
2013-08-01,0.500989491285078
2013-09-01,1.31772921791287
2013-10-01,2.27826867793692
2013-11-01,2.69190396494662
2013-12-01,0.466855995012822
2014-01-01,0.937252538146058
2014-02-01,-0.643720287581083
2014-03-01,2.27817569166796
2014-04-01,0.941403309314952
2014-05-01,1.29163226245875
2014-06-01,2.41349128385829
2014-07-01,0.728011334198383
2014-08-01,-1.31130945227978
2014-09-01,0.846647725176198
2014-10-01,-4.21517025881389
2014-11-01,4.27040587812292
2014-12-01,-0.864126522410501
2015-01-01,-1.27981862846089
2015-02-01,2.69435860770416
2015-03-01,-0.507765476503987
2015-04-01,1.55992251221622
2015-05-01,0.53732990865933
2015-06-01,-1.19109344136121
2015-07-01,-1.42433563081482
2015-08-01,-3.00283567890058
2015-09-01,-5.49068459801634
2015-10-01,3.7288496585203
2015-11-01,0.993133105405391
2015-12-01,-2.15748064721544
2016-01-01,-6.64113690116217
2016-02-01,-1.08378976809229
2016-03-01,6.74752273479888
2016-04-01,2.80529480253862
2016-05-01,-0.000967160079479629
2016-06-01,0.710482665905814
2016-07-01,2.53742709770851
2016-08-01,1.04878370873074
2016-09-01,-0.809334597571068
2016-10-01,-1.17559772710922
2016-11-01,0.81004313548248
2016-12-01,3.99525401790529
2017-01-01,1.13622322574477
2017-02-01,1.8575674694723
2017-03-01,0.769837566287199
2017-04-01,-0.485759116997479
2017-05-01,1.03807346137694
2017-06-01,1.41918859810193
2017-07-01,1.14492142403756
2017-08-01,-0.208736436975174
2017-09-01,1.72082403042213
2017-10-01,2.45466789372398
2017-11-01,0.27352302023845
2017-12-01,2.67033815613468
2018-01-01,4.36672496414429
