DATE,CSUSHPISA
2022-04-01,300.625
2022-05-01,303.904
2022-06-01,304.817
2022-07-01,304.108
2022-08-01,301.638
2022-09-01,299.443
2022-10-01,299.017
2022-11-01,298.232
2022-12-01,297.189
2023-01-01,296.601
2023-02-01,296.95799999999997
2023-03-01,298.21
2023-04-01,300.214
2023-05-01,302.657
2023-06-01,304.635
