DATE,USALORSGPNOSTSAM
2003-01-01,98.3402766703069
2003-02-01,98.3329933622314
2003-03-01,98.3717567602945
2003-04-01,98.4576357540916
2003-05-01,98.5885112730247
2003-06-01,98.7568922403119
2003-07-01,98.9443755527565
2003-08-01,99.1289802239903
2003-09-01,99.2910603370761
2003-10-01,99.4193934028651
2003-11-01,99.5090060130125
2003-12-01,99.5613265856575
2004-01-01,99.5870285901003
2004-02-01,99.5999623063464
2004-03-01,99.6129954760454
2004-04-01,99.6348064569359
2004-05-01,99.6709506081368
2004-06-01,99.7243190531832
2004-07-01,99.7945918765541
2004-08-01,99.8799040598655
2004-09-01,99.9773261848034
2004-10-01,100.082302618552
2004-11-01,100.189089830422
2004-12-01,100.29070616305
2005-01-01,100.378817056258
2005-02-01,100.446099110936
2005-03-01,100.489659855363
2005-04-01,100.516033104288
2005-05-01,100.535410113298
2005-06-01,100.557238414194
2005-07-01,100.586485044479
2005-08-01,100.626072648861
2005-09-01,100.678937413005
2005-10-01,100.749508366891
2005-11-01,100.840057785467
2005-12-01,100.945949938414
2006-01-01,101.049609290109
2006-02-01,101.129715656224
2006-03-01,101.17077658347
2006-04-01,101.174579796904
2006-05-01,101.152141913806
2006-06-01,101.118510706531
2006-07-01,101.089696731368
2006-08-01,101.078733631688
2006-09-01,101.091674002951
2006-10-01,101.12255493265
2006-11-01,101.161186920368
2006-12-01,101.199866980251
2007-01-01,101.23977102748
2007-02-01,101.286349012281
2007-03-01,101.344875667866
2007-04-01,101.415761141154
2007-05-01,101.496394938922
2007-06-01,101.582329542595
2007-07-01,101.667991156755
2007-08-01,101.746569073709
2007-09-01,101.810147866904
2007-10-01,101.850570133946
2007-11-01,101.861821061567
2007-12-01,101.844274177477
2008-01-01,101.811192333216
2008-02-01,101.776317481734
2008-03-01,101.742777426203
2008-04-01,101.692324416798
2008-05-01,101.595099418774
2008-06-01,101.42079551971
2008-07-01,101.15329632852
2008-08-01,100.788062625914
2008-09-01,100.336132467898
2008-10-01,99.8348478852141
2008-11-01,99.3306794760854
2008-12-01,98.8660559481807
2009-01-01,98.4669460385478
2009-02-01,98.1493681831289
2009-03-01,97.92108414606
2009-04-01,97.7773505418686
2009-05-01,97.7102322556867
2009-06-01,97.7116590317583
2009-07-01,97.7708977920606
2009-08-01,97.8775688900811
2009-09-01,98.0204151092946
2009-10-01,98.1825426576325
2009-11-01,98.3480188880759
2009-12-01,98.507000627607
2010-01-01,98.6605222423923
2010-02-01,98.8144464139159
2010-03-01,98.9736035417686
2010-04-01,99.1356991286101
2010-05-01,99.2941234372124
2010-06-01,99.4403926119495
2010-07-01,99.5666976035147
2010-08-01,99.6654104984455
2010-09-01,99.7298523598119
2010-10-01,99.7568693422834
2010-11-01,99.7466508252047
2010-12-01,99.7050408164764
2011-01-01,99.6483150319792
2011-02-01,99.5946108621794
2011-03-01,99.5563302488957
2011-04-01,99.5322161268509
2011-05-01,99.5168164959769
2011-06-01,99.5087176330192
2011-07-01,99.5179641653151
2011-08-01,99.5583516567855
2011-09-01,99.6383429443852
2011-10-01,99.7495575440219
2011-11-01,99.8757273348248
2011-12-01,99.9992110971594
2012-01-01,100.106292242065
2012-02-01,100.1865883332
2012-03-01,100.23347507314
2012-04-01,100.246259843289
2012-05-01,100.227304321212
2012-06-01,100.181430082312
2012-07-01,100.117449528689
2012-08-01,100.045786519184
2012-09-01,99.9772877879955
2012-10-01,99.9224864399099
2012-11-01,99.8892231155453
2012-12-01,99.8791872123189
2013-01-01,99.8827951784429
2013-02-01,99.887694798894
2013-03-01,99.8861320156999
2013-04-01,99.8820825433429
2013-05-01,99.8840263285234
2013-06-01,99.8978043066711
2013-07-01,99.9189491476409
2013-08-01,99.9373416933275
2013-09-01,99.9412121201177
2013-10-01,99.9212283093407
2013-11-01,99.8739993247687
2013-12-01,99.80715516374
2014-01-01,99.7462179736913
2014-02-01,99.7212816302571
2014-03-01,99.7533183903039
2014-04-01,99.8378627648907
2014-05-01,99.9576236559893
2014-06-01,100.091095525913
2014-07-01,100.218541676581
2014-08-01,100.32484050224
2014-09-01,100.402696261084
2014-10-01,100.457264362383
2014-11-01,100.498298005338
2014-12-01,100.533873953009
2015-01-01,100.565037138346
2015-02-01,100.588307318958
2015-03-01,100.598446214159
2015-04-01,100.591735875292
2015-05-01,100.565491285991
2015-06-01,100.518741578537
2015-07-01,100.45426954857
2015-08-01,100.376885540501
2015-09-01,100.292957638507
2015-10-01,100.210856808558
2015-11-01,100.138266048534
2015-12-01,100.079376841916
2016-01-01,100.031414439498
2016-02-01,99.9892127308325
2016-03-01,99.948958370319
2016-04-01,99.9114858177997
2016-05-01,99.8796340842436
2016-06-01,99.8554036984802
2016-07-01,99.8367082505298
2016-08-01,99.8196664654412
2016-09-01,99.8004666485127
2016-10-01,99.7770860661539
2016-11-01,99.7490948832232
2016-12-01,99.7177440953961
2017-01-01,99.686368869586
2017-02-01,99.6597048112428
2017-03-01,99.6432024834794
2017-04-01,99.6420033232968
2017-05-01,99.6607278699849
2017-06-01,99.7021591186162
2017-07-01,99.7644829501225
2017-08-01,99.8435017604997
2017-09-01,99.9333179714562
2017-10-01,100.025795312451
2017-11-01,100.112993768259
2017-12-01,100.189399772073
2018-01-01,100.25452138188
2018-02-01,100.310050177293
2018-03-01,100.357824813121
2018-04-01,100.398485698099
2018-05-01,100.430889873389
2018-06-01,100.45205165032
2018-07-01,100.457695774003
2018-08-01,100.444245250064
2018-09-01,100.411941097908
2018-10-01,100.369338526827
2018-11-01,100.328205744365
