DATE,DSPIC96
2003-01-01,10133.6
2003-02-01,10097.6
2003-03-01,10121.5
2003-04-01,10181.4
2003-05-01,10261.2
2003-06-01,10291.2
2003-07-01,10415.5
2003-08-01,10487.7
2003-09-01,10369.1
2003-10-01,10408.4
2003-11-01,10470.9
2003-12-01,10479.0
2004-01-01,10472.7
2004-02-01,10491.3
2004-03-01,10533.6
2004-04-01,10569.6
2004-05-01,10623.3
2004-06-01,10631.8
2004-07-01,10658.1
2004-08-01,10693.5
2004-09-01,10701.4
2004-10-01,10707.4
2004-11-01,10677.3
2004-12-01,11072.9
2005-01-01,10670.3
2005-02-01,10677.1
2005-03-01,10717.4
2005-04-01,10751.9
2005-05-01,10799.8
2005-06-01,10824.4
2005-07-01,10839.0
2005-08-01,10856.6
2005-09-01,10815.7
2005-10-01,10870.2
2005-11-01,10937.8
2005-12-01,10976.2
2006-01-01,11096.7
2006-02-01,11151.4
2006-03-01,11195.7
2006-04-01,11190.3
2006-05-01,11182.7
2006-06-01,11198.2
2006-07-01,11196.3
2006-08-01,11189.6
2006-09-01,11252.3
2006-10-01,11306.0
2006-11-01,11353.1
2006-12-01,11406.8
2007-01-01,11403.7
2007-02-01,11439.6
2007-03-01,11475.0
2007-04-01,11490.1
2007-05-01,11495.5
2007-06-01,11488.4
2007-07-01,11500.4
2007-08-01,11506.2
2007-09-01,11527.1
2007-10-01,11523.6
2007-11-01,11512.3
2007-12-01,11552.1
2008-01-01,11553.4
2008-02-01,11547.6
2008-03-01,11545.3
2008-04-01,11500.7
2008-05-01,12060.9
2008-06-01,11755.3
2008-07-01,11574.0
2008-08-01,11506.9
2008-09-01,11531.5
2008-10-01,11616.7
2008-11-01,11713.8
2008-12-01,11655.4
2009-01-01,11718.0
2009-02-01,11598.7
2009-03-01,11593.4
2009-04-01,11660.2
2009-05-01,11826.7
2009-06-01,11610.9
2009-07-01,11560.4
2009-08-01,11538.6
2009-09-01,11573.1
2009-10-01,11538.1
2009-11-01,11571.0
2009-12-01,11630.0
2010-01-01,11644.6
2010-02-01,11655.6
2010-03-01,11702.1
2010-04-01,11799.8
2010-05-01,11887.9
2010-06-01,11895.0
2010-07-01,11910.8
2010-08-01,11949.7
2010-09-01,11949.4
2010-10-01,11950.4
2010-11-01,11960.5
2010-12-01,12030.1
2011-01-01,12084.4
2011-02-01,12117.0
2011-03-01,12083.3
2011-04-01,12061.3
2011-05-01,12043.2
2011-06-01,12087.9
2011-07-01,12128.6
2011-08-01,12120.6
2011-09-01,12104.0
2011-10-01,12117.0
2011-11-01,12112.6
2011-12-01,12227.3
2012-01-01,12311.1
2012-02-01,12384.8
2012-03-01,12431.1
2012-04-01,12486.5
2012-05-01,12490.2
2012-06-01,12482.6
2012-07-01,12396.5
2012-08-01,12364.4
2012-09-01,12453.3
2012-10-01,12538.2
2012-11-01,12702.9
2012-12-01,13011.6
2013-01-01,12258.9
2013-02-01,12224.9
2013-03-01,12262.1
2013-04-01,12299.0
2013-05-01,12358.6
2013-06-01,12361.7
2013-07-01,12350.6
2013-08-01,12379.6
2013-09-01,12431.5
2013-10-01,12395.1
2013-11-01,12426.2
2013-12-01,12452.7
2014-01-01,12513.3
2014-02-01,12579.5
2014-03-01,12648.6
2014-04-01,12699.0
2014-05-01,12745.0
2014-06-01,12797.2
2014-07-01,12835.1
2014-08-01,12896.3
2014-09-01,12938.8
2014-10-01,12995.3
2014-11-01,13062.8
2014-12-01,13150.5
2015-01-01,13224.7
2015-02-01,13271.8
2015-03-01,13233.7
2015-04-01,13262.8
2015-05-01,13284.7
2015-06-01,13292.7
2015-07-01,13324.1
2015-08-01,13354.9
2015-09-01,13392.0
2015-10-01,13419.8
2015-11-01,13417.7
2015-12-01,13482.0
2016-01-01,13531.6
2016-02-01,13546.1
2016-03-01,13547.2
2016-04-01,13522.0
2016-05-01,13515.1
2016-06-01,13521.5
2016-07-01,13567.1
2016-08-01,13578.9
2016-09-01,13608.3
2016-10-01,13627.7
2016-11-01,13657.8
2016-12-01,13685.3
2017-01-01,13747.2
2017-02-01,13783.4
2017-03-01,13840.4
2017-04-01,13864.5
2017-05-01,13957.3
2017-06-01,13959.9
2017-07-01,13995.9
2017-08-01,14003.4
2017-09-01,14021.4
2017-10-01,14049.5
2017-11-01,14060.5
2017-12-01,14081.0
2018-01-01,14173.9
2018-02-01,14198.4
2018-03-01,14242.1
2018-04-01,14275.9
2018-05-01,14320.7
2018-06-01,14374.9
2018-07-01,14440.0
2018-08-01,14495.0
2018-09-01,14495.6
2018-10-01,14542.2
2018-11-01,14588.7
2018-12-01,14773.3
2019-01-01,14791.2
2019-02-01,14835.3
2019-03-01,14843.9
2019-04-01,14811.8
2019-05-01,14814.7
2019-06-01,14841.3
2019-07-01,14871.8
2019-08-01,14960.3
2019-09-01,15000.7
2019-10-01,15022.4
2019-11-01,15084.2
2019-12-01,15018.1
2020-01-01,15149.7
2020-02-01,15232.8
2020-03-01,15008.5
2020-04-01,17246.2
2020-05-01,16423.4
2020-06-01,16272.5
2020-07-01,16372.2
2020-08-01,15739.2
2020-09-01,15799.7
2020-10-01,15729.1
2020-11-01,15522.5
2020-12-01,15536.5
2021-01-01,17099.2
2021-02-01,15662.7
2021-03-01,19213.9
2021-04-01,16264.7
2021-05-01,15790.4
2021-06-01,15708.6
2021-07-01,15821.9
2021-08-01,15802.4
2021-09-01,15580.2
2021-10-01,15584.9
2021-11-01,15543.5
2021-12-01,15483.6
2022-01-01,15137.7
2022-02-01,15125.6
2022-03-01,15064.1
2022-04-01,15055.2
2022-05-01,15036.4
2022-06-01,14973.1
2022-07-01,15100.2
2022-08-01,15149.6
2022-09-01,15172.2
2022-10-01,15218.9
2022-11-01,15238.7
2022-12-01,15250.6
2023-01-01,15504.7
2023-02-01,15545.3
2023-03-01,15598.6
2023-04-01,15633.0
2023-05-01,15697.7
2023-06-01,15701.3
2023-07-01,15673.5
