DATE,CSCICP03USM665S
2003-01-01,99.5471621247987
2003-02-01,99.3866732821255
2003-03-01,99.4709825023655
2003-04-01,99.9111006057723
2003-05-01,100.34501893478
2003-06-01,100.503326704722
2003-07-01,100.505648183174
2003-08-01,100.414981933119
2003-09-01,100.379055827944
2003-10-01,100.529424643567
2003-11-01,100.825827505679
2003-12-01,101.133306855416
2004-01-01,101.416700273183
2004-02-01,101.301457676598
2004-03-01,101.13122850822
2004-04-01,100.957638466805
2004-05-01,100.878141251369
2004-06-01,101.01803994468
2004-07-01,101.131062583868
2004-08-01,101.106007687625
2004-09-01,100.985425069343
2004-10-01,100.894886404392
2004-11-01,100.960026149351
2004-12-01,101.09775417895
2005-01-01,101.082819493434
2005-02-01,100.92492295715
2005-03-01,100.692083326129
2005-04-01,100.500911208686
2005-05-01,100.569853079634
2005-06-01,100.823684382819
2005-07-01,100.728783331207
2005-08-01,100.12884634567
2005-09-01,99.3996543122018
2005-10-01,99.1630045245297
2005-11-01,99.5551917008835
2005-12-01,100.140385661411
2006-01-01,100.404449194745
2006-02-01,100.355075168407
2006-03-01,100.221803872108
2006-04-01,99.9666101936728
2006-05-01,99.6805818199788
2006-06-01,99.6595172985909
2006-07-01,99.6961919984491
2006-08-01,99.7958590162476
2006-09-01,100.115628394335
2006-10-01,100.541527992663
2006-11-01,100.775817508794
2006-12-01,100.892878251459
2007-01-01,100.925328007621
2007-02-01,100.69906813532
2007-03-01,100.423431945789
2007-04-01,100.246954272994
2007-05-01,100.18578947068
2007-06-01,100.144539550591
2007-07-01,100.121095478236
2007-08-01,99.8886958593587
2007-09-01,99.6299961094434
2007-10-01,99.3313551941511
2007-11-01,99.0415353792369
2007-12-01,98.8710171178286
2008-01-01,98.7071128915554
2008-02-01,98.3126472252334
2008-03-01,97.8370791056336
2008-04-01,97.3010165226443
2008-05-01,96.9161350543037
2008-06-01,96.7951006124728
2008-07-01,97.0012057598014
2008-08-01,97.2623207534607
2008-09-01,97.3394943716004
2008-10-01,96.9813536598587
2008-11-01,96.7209623150212
2008-12-01,96.7133851744556
2009-01-01,96.7206996151771
2009-02-01,96.6942786681991
2009-03-01,96.8991800301378
2009-04-01,97.3538879952839
2009-05-01,97.7451425048696
2009-06-01,97.9071283893235
2009-07-01,97.8612503390241
2009-08-01,97.9055808833765
2009-09-01,98.0860324673273
2009-10-01,98.1161077836496
2009-11-01,98.1303453963942
2009-12-01,98.3070262320717
2010-01-01,98.4707986510508
2010-02-01,98.5266227090279
2010-03-01,98.5234855193382
2010-04-01,98.5027928660143
2010-05-01,98.5015063934758
2010-06-01,98.4052136841655
2010-07-01,98.1170373067761
2010-08-01,97.9412805124525
2010-09-01,97.889814240298
2010-10-01,97.9895373640239
2010-11-01,98.2500316762605
2010-12-01,98.5039735592279
2011-01-01,98.6135882762005
2011-02-01,98.563926281035
2011-03-01,98.3173293778358
2011-04-01,98.2582030730982
2011-05-01,98.2423093668548
2011-06-01,97.9312730031851
2011-07-01,97.3472620268826
2011-08-01,96.8487789957502
2011-09-01,96.7807747495007
2011-10-01,97.0152881512478
2011-11-01,97.4624528552144
2011-12-01,98.0155795217939
2012-01-01,98.4871284294406
2012-02-01,98.7500191930802
2012-03-01,98.8767069536109
2012-04-01,98.9122107376245
2012-05-01,98.855183066961
2012-06-01,98.6463522569361
2012-07-01,98.5727682794996
2012-08-01,98.7462780649087
2012-09-01,99.0693521090789
2012-10-01,99.3010355105864
2012-11-01,99.2127955713184
2012-12-01,98.8716791631483
2013-01-01,98.7405257083247
2013-02-01,98.8457255578291
2013-03-01,99.0161308162849
2013-04-01,99.2328310550327
2013-05-01,99.57847846488
2013-06-01,99.7571807127013
2013-07-01,99.7186698623543
2013-08-01,99.4317079623759
2013-09-01,99.0423283075348
2013-10-01,98.801606105194
2013-11-01,98.9042782386075
2013-12-01,99.2146247010787
2014-01-01,99.3912842438365
2014-02-01,99.4629129564833
2014-03-01,99.4958751896704
2014-04-01,99.5705070069335
2014-05-01,99.5565852935769
2014-06-01,99.5295906253519
2014-07-01,99.5212220771622
2014-08-01,99.618230138012
2014-09-01,99.827108765749
2014-10-01,100.120763819661
2014-11-01,100.481068296271
2014-12-01,100.880587221196
2015-01-01,101.149760953826
2015-02-01,101.152092236187
2015-03-01,101.053759310734
2015-04-01,100.998012527737
2015-05-01,100.916154283837
2015-06-01,100.930503997543
2015-07-01,100.81365821486
2015-08-01,100.620685116099
2015-09-01,100.446779064934
2015-10-01,100.476557213726
2015-11-01,100.595232622016
2015-12-01,100.694081259113
2016-01-01,100.707416130366
2016-02-01,100.669388174641
2016-03-01,100.628813146335
2016-04-01,100.651280447748
2016-05-01,100.775916869544
2016-06-01,100.753458466923
2016-07-01,100.604077481698
2016-08-01,100.496164251471
2016-09-01,100.476651755636
2016-10-01,100.554982763367
2016-11-01,100.890244905141
2016-12-01,101.233918020185
2017-01-01,101.384832728658
2017-02-01,101.37231112591
2017-03-01,101.341171197367
2017-04-01,101.300841516634
2017-05-01,101.228339420756
2017-06-01,101.120573732071
2017-07-01,101.078819895211
2017-08-01,101.177024843378
2017-09-01,101.30001913615
2017-10-01,101.452395409417
2017-11-01,101.431972383559
2017-12-01,101.347908892925
2018-01-01,101.377720007043
2018-02-01,101.54004145212
2018-03-01,101.640872414681
2018-04-01,101.590175741314
2018-05-01,101.504588675159
2018-06-01,101.44682046014
2018-07-01,101.415455078156
2018-08-01,101.426665546343
2018-09-01,101.509660175693
2018-10-01,101.491930403819
2018-11-01,101.383204769306
2018-12-01,101.213583066779
